2026-03-23 13:14:55 | INFO     | scraper.biddetail | Driver started (headless=False)
2026-03-23 13:14:55 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Cataloguing
2026-03-23 13:15:22 | INFO     | scraper.biddetail | [BidDetail] 24 rows for 'Data Cataloguing'
2026-03-23 13:16:59 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Cataloguing'
2026-03-23 13:16:59 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material Codification
2026-03-23 13:17:24 | INFO     | scraper.biddetail | [BidDetail] 25 rows for 'Material Codification'
2026-03-23 13:19:03 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material Codification'
2026-03-23 13:19:03 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Master data management
2026-03-23 13:19:07 | INFO     | scraper.biddetail | [BidDetail] 6 rows for 'Master data management'
2026-03-23 13:19:28 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Master data management'
2026-03-23 13:19:28 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material master data cleansing
2026-03-23 13:19:32 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Material master data cleansing'
2026-03-23 13:19:32 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material master data cleansing'
2026-03-23 13:19:32 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Implementation of Material Data Governance
2026-03-23 13:19:36 | INFO     | scraper.biddetail | [BidDetail] 1 rows for 'Implementation of Material Data Governance'
2026-03-23 13:19:40 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Implementation of Material Data Governance'
2026-03-23 13:19:40 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material Data Governance
2026-03-23 13:19:44 | INFO     | scraper.biddetail | [BidDetail] 1 rows for 'Material Data Governance'
2026-03-23 13:19:47 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material Data Governance'
2026-03-23 13:19:47 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data governance solution
2026-03-23 13:20:13 | INFO     | scraper.biddetail | [BidDetail] 32 rows for 'Data governance solution'
2026-03-23 13:20:32 | INFO     | scraper.biddetail | Driver started (headless=False)
2026-03-23 13:20:32 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Cataloguing
2026-03-23 13:20:59 | INFO     | scraper.biddetail | [BidDetail] 24 rows for 'Data Cataloguing'
2026-03-23 13:22:23 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data governance solution'
2026-03-23 13:22:23 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Vendor Data Governance software
2026-03-23 13:22:28 | INFO     | scraper.biddetail | [BidDetail] 2 rows for 'Vendor Data Governance software'
2026-03-23 13:22:36 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Vendor Data Governance software'
2026-03-23 13:22:36 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material master catalogue
2026-03-23 13:22:41 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Material master catalogue'
2026-03-23 13:22:41 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material master catalogue'
2026-03-23 13:22:41 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: SOFTWARE TOOL FOR MASTER DATA MANAGEMENT
2026-03-23 13:22:43 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Cataloguing'
2026-03-23 13:22:43 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material Codification
2026-03-23 13:22:46 | INFO     | scraper.biddetail | [BidDetail] 2 rows for 'SOFTWARE TOOL FOR MASTER DATA MANAGEMENT'
2026-03-23 13:22:54 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'SOFTWARE TOOL FOR MASTER DATA MANAGEMENT'
2026-03-23 13:22:54 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Enrichment
2026-03-23 13:22:59 | INFO     | scraper.biddetail | [BidDetail] 1 rows for 'Data Enrichment'
2026-03-23 13:23:03 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Enrichment'
2026-03-23 13:23:03 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Supply & implementation of Vendor data
2026-03-23 13:23:07 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Supply & implementation of Vendor data'
2026-03-23 13:23:07 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Supply & implementation of Vendor data'
2026-03-23 13:23:07 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Validation (deduplication, cleansing)
2026-03-23 13:23:09 | INFO     | scraper.biddetail | [BidDetail] 25 rows for 'Material Codification'
2026-03-23 13:23:33 | INFO     | scraper.biddetail | [BidDetail] 102 rows for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:24:51 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material Codification'
2026-03-23 13:24:51 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Master data management
2026-03-23 13:24:55 | INFO     | scraper.biddetail | [BidDetail] 6 rows for 'Master data management'
2026-03-23 13:25:20 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Master data management'
2026-03-23 13:25:20 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material master data cleansing
2026-03-23 13:25:25 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Material master data cleansing'
2026-03-23 13:25:25 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material master data cleansing'
2026-03-23 13:25:25 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Implementation of Material Data Governance
2026-03-23 13:25:30 | INFO     | scraper.biddetail | [BidDetail] 1 rows for 'Implementation of Material Data Governance'
2026-03-23 13:25:34 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Implementation of Material Data Governance'
2026-03-23 13:25:34 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material Data Governance
2026-03-23 13:25:39 | INFO     | scraper.biddetail | [BidDetail] 1 rows for 'Material Data Governance'
2026-03-23 13:25:43 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material Data Governance'
2026-03-23 13:25:43 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data governance solution
2026-03-23 13:26:09 | INFO     | scraper.biddetail | [BidDetail] 32 rows for 'Data governance solution'
2026-03-23 13:28:21 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data governance solution'
2026-03-23 13:28:21 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Vendor Data Governance software
2026-03-23 13:28:26 | INFO     | scraper.biddetail | [BidDetail] 2 rows for 'Vendor Data Governance software'
2026-03-23 13:28:34 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Vendor Data Governance software'
2026-03-23 13:28:34 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material master catalogue
2026-03-23 13:28:39 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Material master catalogue'
2026-03-23 13:28:39 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Material master catalogue'
2026-03-23 13:28:39 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: SOFTWARE TOOL FOR MASTER DATA MANAGEMENT
2026-03-23 13:28:44 | INFO     | scraper.biddetail | [BidDetail] 2 rows for 'SOFTWARE TOOL FOR MASTER DATA MANAGEMENT'
2026-03-23 13:28:52 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'SOFTWARE TOOL FOR MASTER DATA MANAGEMENT'
2026-03-23 13:28:52 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Enrichment
2026-03-23 13:28:57 | INFO     | scraper.biddetail | [BidDetail] 1 rows for 'Data Enrichment'
2026-03-23 13:29:01 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Enrichment'
2026-03-23 13:29:01 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Supply & implementation of Vendor data
2026-03-23 13:29:06 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Supply & implementation of Vendor data'
2026-03-23 13:29:06 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Supply & implementation of Vendor data'
2026-03-23 13:29:06 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Validation (deduplication, cleansing)
2026-03-23 13:29:32 | INFO     | scraper.biddetail | [BidDetail] 102 rows for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:30:14 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:30:14 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Deduplication, Cleansing and Standardization
2026-03-23 13:30:39 | INFO     | scraper.biddetail | [BidDetail] 110 rows for 'Deduplication, Cleansing and Standardization'
2026-03-23 13:36:10 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:36:10 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Deduplication, Cleansing and Standardization
2026-03-23 13:36:36 | INFO     | scraper.biddetail | [BidDetail] 110 rows for 'Deduplication, Cleansing and Standardization'
2026-03-23 13:37:40 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Deduplication, Cleansing and Standardization'
2026-03-23 13:37:40 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Cleansing and Enrichment services
2026-03-23 13:37:44 | INFO     | scraper.biddetail | [BidDetail] 0 rows for 'Data Cleansing and Enrichment services'
2026-03-23 13:37:44 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Cleansing and Enrichment services'
2026-03-23 13:37:44 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Data Standardization
2026-03-23 13:37:49 | INFO     | scraper.biddetail | [BidDetail] 3 rows for 'Data Standardization'
2026-03-23 13:38:00 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Data Standardization'
2026-03-23 13:38:00 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Cataloguing and standardizing
2026-03-23 13:38:05 | INFO     | scraper.biddetail | [BidDetail] 2 rows for 'Cataloguing and standardizing'
2026-03-23 13:38:12 | INFO     | scraper.biddetail | [biddetail] Got 0 results for 'Cataloguing and standardizing'
2026-03-23 13:38:12 | INFO     | scraper.biddetail | [biddetail] Scraping keyword: Material codification, Cataloguing and classification
2026-03-23 13:38:38 | INFO     | scraper.biddetail | [BidDetail] 33 rows for 'Material codification, Cataloguing and classification'
